K2\b;0;0.25;0.5;0.75;1;1.25;1.5;1.75;2;2.25;2.5;2.75;3;3.25;3.5;3.75;4;4.25;4.5;4.75;5;5.25;5.5;5.75;6;6.25;6.5;6.75;7;7.25;7.5;7.75;8;8.25;8.5;8.75;9;9.25;9.5;9.75;10;10.25;10.5;10.75;11;11.25;11.5;11.75;12;12.25;12.5;12.75;13;13.25;13.5;13.75;14;14.25;14.5;14.75;15;15.25;15.5;15.75;16;16.25;16.5;16.75;17;17.25;17.5;17.75;18;18.25;18.5;18.75;19;19.25;19.5;19.75;20
2;1.00;.78;.61;.48;.38;.29;.23;.18;.14;.11;.08;.06;.05;.03;.03;.02;.02;.01;.01;.01;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00;.00
3;1.00;.78;.62;.50;.41;.34;.28;.24;.21;.18;.16;.14;.13;.12;.11;.10;.09;.09;.08;.08;.07;.07;.06;.06;.06;.06;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02;.02
4;1.00;.79;.63;.52;.43;.37;.32;.28;.25;.22;.20;.18;.17;.15;.14;.13;.13;.12;.11;.11;.10;.10;.09;.09;.08;.08;.08;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03
5;1.00;.79;.64;.53;.45;.38;.33;.30;.27;.24;.22;.20;.19;.17;.16;.15;.14;.13;.13;.12;.12;.11;.11;.10;.10;.09;.09;.09;.08;.08;.08;.08;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03;.03
6;1.00;.79;.64;.54;.46;.39;.35;.31;.28;.25;.23;.21;.20;.18;.17;.16;.15;.14;.14;.13;.12;.12;.11;.11;.10;.10;.10;.09;.09;.09;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.03;.03;.03;.03;.03;.03;.03
7;1.00;.79;.65;.54;.46;.40;.36;.32;.29;.26;.24;.22;.21;.19;.18;.17;.16;.15;.14;.14;.13;.13;.12;.12;.11;.11;.10;.10;.10;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
8;1.00;.79;.65;.54;.47;.41;.36;.32;.29;.27;.25;.23;.21;.20;.19;.17;.16;.16;.15;.14;.14;.13;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
9;1.00;.79;.65;.55;.47;.41;.37;.33;.30;.27;.25;.23;.22;.20;.19;.18;.17;.16;.15;.15;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
10;1.00;.79;.65;.55;.47;.42;.37;.33;.30;.28;.25;.24;.22;.21;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.12;.12;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
11;1.00;.79;.65;.55;.48;.42;.37;.34;.31;.28;.26;.24;.22;.21;.20;.19;.18;.17;.16;.15;.15;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04;.04
12;1.00;.79;.65;.55;.48;.42;.37;.34;.31;.28;.26;.24;.23;.21;.20;.19;.18;.17;.16;.15;.15;.14;.13;.13;.12;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04;.04
13;1.00;.80;.66;.56;.48;.42;.38;.34;.31;.28;.26;.24;.23;.21;.20;.19;.18;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04;.04
14;1.00;.80;.66;.56;.48;.42;.38;.34;.31;.29;.26;.25;.23;.21;.20;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04
15;1.00;.80;.66;.56;.48;.42;.38;.34;.31;.29;.26;.25;.23;.22;.20;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.12;.12;.12;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04;.04
16;1.00;.80;.66;.56;.48;.43;.38;.34;.31;.29;.27;.25;.23;.22;.20;.19;.18;.17;.17;.16;.15;.15;.14;.13;.13;.12;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04;.04
17;1.00;.80;.66;.56;.48;.43;.38;.35;.32;.29;.27;.25;.23;.22;.21;.19;.18;.18;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04
18;1.00;.80;.66;.56;.49;.43;.38;.35;.32;.29;.27;.25;.23;.22;.21;.20;.19;.18;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04;.04
19;1.00;.80;.66;.56;.49;.43;.38;.35;.32;.29;.27;.25;.23;.22;.21;.20;.19;.18;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04
20;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.29;.27;.25;.24;.22;.21;.20;.19;.18;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04;.04
21;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.29;.27;.25;.24;.22;.21;.20;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.12;.12;.12;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04
22;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.29;.27;.25;.24;.22;.21;.20;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.12;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04
23;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.29;.27;.25;.24;.22;.21;.20;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.12;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04;.04
24;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.30;.27;.25;.24;.22;.21;.20;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04
25;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.30;.27;.25;.24;.22;.21;.20;.19;.18;.17;.16;.16;.15;.14;.14;.13;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04
26;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.30;.27;.26;.24;.22;.21;.20;.19;.18;.17;.16;.16;.15;.15;.14;.13;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04
27;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.30;.27;.26;.24;.22;.21;.20;.19;.18;.17;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04;.04
28;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.30;.28;.26;.24;.23;.21;.20;.19;.18;.17;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04
29;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.30;.28;.26;.24;.23;.21;.20;.19;.18;.17;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.10;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04
30;1.00;.80;.66;.56;.49;.43;.39;.35;.32;.30;.28;.26;.24;.23;.21;.20;.19;.18;.17;.17;.16;.15;.15;.14;.14;.13;.13;.12;.12;.11;.11;.11;.11;.10;.10;.10;.09;.09;.09;.09;.09;.08;.08;.08;.08;.08;.08;.07;.07;.07;.07;.07;.07;.07;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.06;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.05;.04